tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,Tipo,Municipio,tiempototal,an,mayor
14,13,80,9,36,7,1,3,159,2013,0
14,10,39,8,9,3,4,13,83,2018,0
7,15,111,4,5,8,5,13,150,2017,0
10,17,72,1,14,7,1,2,121,2003,0
7,38,72,5,20,4,3,13,146,2005,1
6,16,62,9,24,6,2,22,123,2004,0
11,48,7,6,15,7,3,16,94,2005,0
11,42,32,7,30,2,1,13,124,2010,0
6,4,42,10,35,4,1,20,101,2002,0
13,32,32,1,8,1,4,18,87,2021,0
9,13,146,4,12,1,5,15,185,2009,1
15,3,101,7,31,9,2,9,166,2008,0
14,14,133,2,22,3,1,7,188,2021,1
4,9,108,10,3,4,1,14,138,2013,0
7,47,63,4,12,6,5,26,139,2006,0
14,30,18,7,13,7,2,5,89,2001,0
1,24,133,4,23,2,1,3,187,2006,1
2,39,34,1,2,5,7,18,83,2005,0
2,17,119,5,18,8,1,19,169,2019,0
9,15,149,1,2,7,2,9,183,2001,1
12,21,135,6,32,1,5,18,207,2010,1
12,30,106,5,35,2,7,23,190,2005,1
2,11,103,10,4,2,2,2,132,2002,0
4,6,89,4,39,8,7,4,150,2001,0
10,20,53,3,37,9,5,27,132,2008,0
9,26,84,1,13,1,6,14,134,2005,0
12,43,77,10,39,5,7,23,186,2018,1
7,32,5,6,13,5,5,26,68,2013,0
15,42,148,3,32,8,7,13,248,2019,1
7,41,126,8,33,9,3,7,224,2013,1
2,10,44,8,21,9,4,13,94,2003,0
4,30,134,2,10,1,2,19,181,2001,1
6,24,83,10,27,3,2,2,153,2004,0
3,44,31,3,17,8,1,17,106,2002,0
12,11,28,1,39,6,6,16,97,2003,0
6,22,86,10,27,1,3,5,152,2014,0
3,21,111,3,38,2,6,20,178,2015,1
9,32,101,6,6,7,1,24,161,2008,0
14,10,122,10,30,7,1,7,193,2011,0
4,39,124,3,18,4,6,24,192,2009,1
1,48,58,8,20,1,4,20,136,2010,0
6,37,119,5,6,4,1,24,177,2013,0
12,17,134,7,29,5,2,20,204,2001,1
12,30,73,8,4,7,7,25,134,2015,0
12,1,34,7,12,5,2,25,71,2003,0
1,32,11,1,1,7,3,10,53,2001,0
9,13,4,5,31,4,1,9,66,2015,0
4,16,133,10,31,4,4,2,198,2004,1
6,42,13,5,32,5,6,8,103,2012,0
6,39,91,5,14,4,5,8,159,2009,1
12,10,1,8,11,3,5,18,45,2012,0
5,45,121,3,18,1,4,6,193,2016,1
9,47,46,9,16,9,2,3,136,2012,0
14,49,39,8,23,8,6,14,141,2012,0
4,44,63,8,38,4,3,21,161,2009,0
2,25,62,5,29,9,6,10,132,2007,0
1,35,27,8,36,9,6,8,116,2007,0
9,14,118,2,23,7,1,23,173,2022,1
9,3,128,1,4,6,3,14,151,2020,1
2,40,35,5,19,5,1,15,106,2022,0
15,13,140,4,39,7,1,2,218,2018,1
3,35,106,1,35,4,5,12,184,2008,0
7,13,144,9,15,4,6,14,192,2016,1
5,33,91,10,4,2,5,22,145,2008,0
5,27,120,5,38,1,3,1,196,2001,1
11,14,29,5,1,6,1,26,66,2006,0
10,32,128,8,6,3,4,4,187,2001,1
13,46,96,6,12,7,2,20,180,2015,0
14,11,143,3,2,5,4,15,178,2021,1
15,9,38,2,8,8,5,5,80,2005,0
14,41,144,3,29,7,6,23,238,2017,1
3,42,86,9,24,8,6,20,172,2016,0
9,19,29,9,24,1,6,26,91,2013,0
2,9,49,5,8,2,6,15,75,2001,0
10,19,65,5,38,7,5,24,144,2009,0
15,3,119,10,37,6,3,11,190,2014,1
1,11,55,9,28,5,7,23,109,2013,0
4,4,73,9,16,1,3,17,107,2019,0
4,21,121,3,38,5,2,6,192,2003,1
5,40,36,8,23,1,3,14,113,2005,0
11,10,21,6,38,9,7,20,95,2007,0
8,36,2,6,27,6,7,7,85,2019,0
8,43,136,10,3,8,2,7,208,2006,1
4,17,47,6,8,7,1,24,89,2012,0
15,41,18,6,38,7,1,19,125,2008,0
3,6,118,4,12,3,7,23,146,2013,0
14,40,74,4,13,9,2,19,154,2004,0
15,38,121,1,34,1,7,7,210,2014,1
11,21,92,6,37,3,1,21,170,2018,1
3,28,111,2,2,9,7,25,155,2003,1
14,36,92,2,19,4,4,2,167,2007,1
2,11,21,3,28,8,2,22,73,2002,0
6,38,100,1,32,7,2,8,184,2005,0
6,34,117,4,11,3,6,14,175,2002,1
3,1,130,3,18,2,5,16,157,2013,0
8,2,110,6,29,1,3,3,156,2021,0
8,12,70,10,15,7,3,22,122,2002,0
14,24,72,1,17,8,3,8,136,2013,0
4,49,82,4,12,5,3,1,156,2021,0
1,45,94,5,2,9,4,10,156,2009,0
1,9,119,3,4,8,5,26,144,2016,0
5,7,88,9,18,7,7,19,134,2021,0
10,37,81,4,2,7,1,9,141,2005,0
7,44,88,7,27,4,3,18,177,2005,0
9,14,25,2,13,9,3,16,72,2011,0
11,39,37,4,1,8,3,15,100,2013,0
5,46,114,3,32,2,5,13,202,2008,1
6,31,74,10,34,4,3,18,159,2005,0
3,48,104,5,22,5,5,12,187,2016,1
6,30,128,8,18,3,2,27,193,2019,1
3,18,128,6,32,7,5,1,194,2017,1
9,46,30,8,25,8,4,7,126,2012,0
13,40,69,3,18,8,3,5,151,2006,0
13,2,29,5,19,2,6,23,70,2014,0
10,9,114,7,11,9,7,17,160,2001,0
3,12,116,1,28,2,1,16,162,2016,0
11,49,101,4,32,9,5,6,206,2011,1
15,23,63,6,10,3,1,22,120,2014,0
7,2,1,2,27,1,2,12,40,2018,0
4,5,62,10,3,3,4,13,87,2021,0
4,46,27,3,28,8,2,3,116,2020,0
12,14,138,4,39,4,1,23,211,2008,1
11,3,64,3,25,8,2,1,114,2022,0
14,25,55,8,21,7,6,6,130,2013,0
2,28,8,10,23,4,4,15,75,2013,0
8,49,37,4,15,9,5,6,122,2003,0
9,10,25,10,28,3,2,13,85,2015,0
12,9,109,4,35,6,1,24,175,2002,0
10,21,116,1,15,1,2,3,164,2008,0
11,24,118,1,35,9,5,14,198,2004,1
10,33,131,2,11,3,4,5,190,2011,1
3,42,24,3,31,5,6,27,108,2005,0
9,10,87,8,25,6,2,13,145,2008,0
10,11,8,10,34,8,5,3,81,2006,0
5,13,144,10,18,6,3,23,196,2008,1
14,47,45,1,31,7,4,2,145,2011,1
8,9,45,8,25,4,5,18,99,2013,0
7,12,82,1,21,7,2,23,130,2012,0
12,6,27,9,20,8,1,25,82,2003,0
5,9,101,4,24,8,5,7,151,2016,0
11,20,14,9,29,9,2,7,92,2008,0
6,29,85,7,30,1,3,4,158,2002,0
14,41,53,8,8,4,7,3,128,2019,0
2,44,51,7,38,7,7,15,149,2014,0
1,44,69,8,17,8,2,4,147,2006,0
11,40,124,10,31,7,7,9,223,2019,1
1,35,118,6,12,2,7,9,174,2011,1
2,47,43,9,4,1,2,23,106,2022,0
6,13,84,8,20,1,2,21,132,2012,0
6,18,85,8,36,9,2,18,162,2019,0
10,21,101,2,4,5,1,17,143,2010,0
15,44,7,9,8,1,6,16,84,2007,0
13,30,141,3,26,5,5,27,218,2017,1
15,12,101,10,35,1,2,18,174,2004,1
1,46,122,3,20,9,6,13,201,2001,1
10,16,137,9,24,6,1,14,202,2006,1
8,43,143,5,17,1,7,4,217,2019,1
7,21,140,8,31,3,5,13,210,2011,1
15,29,2,10,14,8,3,10,78,2019,0
3,5,61,5,10,2,6,26,86,2016,0
1,20,73,10,4,3,2,21,111,2017,0
1,30,84,7,6,7,7,15,135,2002,0
6,8,124,5,39,8,1,15,190,2006,1
9,2,117,3,5,8,5,20,144,2004,0
11,26,138,2,18,8,5,27,203,2002,1
3,11,147,6,33,8,2,23,208,2003,1
7,29,134,10,3,1,1,20,184,2004,1
3,24,97,8,22,6,4,6,160,2017,0
4,9,61,5,14,2,2,22,95,2003,0
9,14,127,1,39,1,1,16,191,2010,1
6,30,87,7,13,5,4,9,148,2001,0
3,19,146,5,6,7,4,1,186,2017,1
8,10,76,10,13,6,6,26,123,2012,0
2,33,17,3,33,2,3,1,90,2004,0
8,36,103,8,33,1,6,10,189,2016,0
4,3,139,6,15,1,4,7,168,2011,1
10,36,150,9,25,9,7,4,239,2021,1
9,4,122,5,25,7,3,16,172,2009,1
14,10,108,10,38,4,1,1,184,2001,1
15,3,28,1,27,3,1,11,77,2016,0
4,11,10,2,21,5,1,4,53,2019,0
13,38,110,3,16,2,6,17,182,2009,1
2,2,79,9,26,7,2,10,125,2016,0
7,14,139,2,16,2,2,20,180,2020,1
13,13,121,10,21,5,2,16,183,2010,1
1,1,48,3,17,1,7,12,71,2021,0
6,7,8,9,37,3,5,8,70,2018,0
6,15,50,2,37,9,4,15,119,2001,0
9,11,19,4,20,6,5,20,69,2016,0
14,40,127,3,33,6,2,26,223,2012,1
2,45,72,1,1,2,7,1,123,2009,0
13,23,145,7,2,1,5,16,191,2021,0
11,13,125,5,26,3,1,24,183,2011,1
8,22,9,4,4,1,1,13,48,2014,0
10,49,23,4,39,2,5,3,127,2018,0
12,17,33,5,2,4,7,15,73,2005,0
9,1,3,10,7,7,2,8,37,2011,0
6,31,102,2,5,8,6,2,154,2012,0
4,49,49,7,22,8,4,12,139,2022,0
12,40,57,1,30,7,6,10,147,2009,0
13,7,114,5,10,5,4,4,154,2012,0
5,19,148,2,38,1,7,24,213,2006,1
14,23,79,7,14,2,6,19,139,2003,0
6,28,108,1,34,4,3,5,181,2022,1
11,17,105,9,35,7,1,26,184,2018,1
11,31,144,8,39,2,2,10,235,2013,1
2,23,41,3,26,9,3,21,104,2006,0
7,38,149,8,36,4,1,20,242,2015,1
5,17,16,5,2,4,2,26,49,2004,0
12,48,128,7,28,1,5,24,224,2007,1
11,10,106,10,32,1,7,15,170,2005,1
13,18,45,8,9,9,6,11,102,2020,0
3,5,131,7,35,4,3,1,185,2017,0
3,23,66,10,8,3,2,3,113,2009,0
7,36,82,2,7,1,2,12,135,2005,0
10,38,37,6,19,6,6,7,116,2002,0
10,22,150,8,25,5,5,5,220,2015,1
4,43,123,1,25,7,2,8,203,2018,1
9,1,118,9,16,3,6,12,156,2018,0
7,43,120,1,3,9,7,7,183,2021,1
11,17,97,10,22,2,7,6,159,2006,0
2,31,48,7,21,3,3,12,112,2021,0
8,13,146,9,33,9,5,12,218,2006,1
2,1,128,3,20,9,3,4,163,2004,1
13,41,145,6,11,6,6,13,222,2008,1
15,43,128,8,19,5,3,2,218,2008,1
10,1,18,9,12,7,1,5,57,2021,0
4,13,94,8,15,5,1,18,139,2004,0
10,18,86,6,32,6,2,20,158,2003,0
3,45,68,2,36,3,5,20,157,2016,0
15,32,13,5,1,8,2,21,74,2006,0
7,30,116,1,15,5,5,10,174,2006,0
6,10,150,8,36,7,3,24,217,2016,1
15,9,80,5,8,8,4,11,125,2022,0
6,19,138,9,25,5,1,21,202,2003,1
1,45,47,6,22,5,1,8,126,2003,0
5,8,82,7,37,2,5,24,141,2013,0
5,37,56,5,10,3,1,2,116,2001,0
14,47,31,6,33,9,4,14,140,2009,0
13,27,14,3,9,5,3,14,71,2019,0
15,12,107,1,5,7,4,10,147,2017,0
3,15,9,7,4,4,5,5,42,2015,0
9,37,133,6,23,1,6,1,209,2011,1
3,44,53,6,9,5,6,15,120,2020,0
3,12,91,4,17,8,7,22,135,2005,0
11,11,49,9,10,1,7,1,91,2005,0
4,34,99,4,39,5,3,8,185,2008,1
10,16,119,4,5,1,3,2,155,2007,1
6,33,133,4,35,6,5,14,217,2007,1
7,49,53,9,33,7,1,23,158,2009,0
5,18,102,6,22,8,4,23,161,2004,0
11,6,130,5,13,9,2,8,174,2013,0
2,16,20,1,6,3,3,17,48,2017,0
2,37,52,3,1,2,2,9,97,2008,0
2,29,107,9,25,2,3,21,174,2001,1
11,16,30,3,12,8,6,23,80,2011,0
14,8,143,5,12,2,5,21,184,2003,1
8,6,135,5,34,4,1,10,192,2018,1
1,3,110,6,4,3,6,11,127,2005,0
11,36,101,7,2,2,2,16,159,2014,0
10,11,36,5,21,6,2,7,89,2018,0
12,2,24,7,35,3,2,2,83,2011,0
5,40,45,1,10,7,2,13,108,2010,0
6,30,121,7,29,9,5,17,202,2005,1
15,29,54,5,18,1,7,25,122,2009,0
11,42,54,6,29,8,4,8,150,2005,0
1,20,78,7,16,5,3,1,127,2019,0
11,19,3,6,14,5,2,7,58,2021,0
1,33,127,7,10,5,5,12,183,2004,1
9,21,98,5,15,6,2,20,154,2001,0
6,44,93,3,31,7,4,15,184,2009,1
7,44,61,6,37,4,5,4,159,2016,1
8,36,110,4,22,8,2,6,188,2019,1
9,31,132,2,11,4,6,27,189,2015,1
11,36,49,3,11,3,5,23,113,2009,0
15,41,75,5,34,4,2,8,174,2008,1
4,22,56,9,31,8,7,15,130,2008,0
10,22,34,9,16,3,1,26,94,2010,0
14,16,100,8,27,7,3,18,172,2012,1
3,11,118,7,1,5,6,17,145,2006,0
14,2,95,7,38,4,6,22,160,2008,0
14,46,4,4,10,4,7,25,82,2015,0
12,15,21,6,31,8,2,23,93,2001,0
12,22,114,2,3,9,7,10,162,2003,0
1,9,94,1,6,3,3,2,114,2003,0
5,14,113,8,22,4,7,8,166,2005,0
11,36,146,8,28,8,7,13,237,2001,1
13,43,150,8,33,4,3,7,251,2003,1
11,49,65,4,29,8,3,12,166,2003,0
2,7,76,8,19,1,4,17,113,2018,0
1,30,128,10,6,9,7,5,184,2009,1
15,42,27,8,25,6,4,6,123,2009,0
12,6,50,1,13,1,3,20,83,2007,0
5,13,92,4,33,5,3,13,152,2016,0
15,2,144,2,24,9,1,25,196,2005,1
10,1,104,7,24,7,3,2,153,2003,0
2,44,25,9,11,3,5,1,94,2010,0
11,45,51,2,3,4,3,13,116,2018,0
13,30,14,7,20,1,5,4,85,2001,0
11,16,19,5,9,7,7,23,67,2002,0
9,47,24,5,18,8,5,10,111,2019,0
13,28,92,6,18,8,1,15,165,2019,0
10,49,68,4,3,2,5,6,136,2008,0
13,16,98,2,26,4,3,7,159,2014,1
5,24,26,3,26,4,5,16,88,2015,0
13,10,13,2,15,7,2,27,60,2007,0
2,47,144,6,30,3,1,23,232,2015,1
6,35,75,2,17,5,6,18,140,2006,0
4,22,1,9,26,4,1,20,66,2004,0
9,21,110,2,12,1,3,24,155,2001,0
11,31,145,10,33,5,7,19,235,2012,1
3,18,61,1,37,7,3,11,127,2007,0
11,20,81,10,16,5,5,4,143,2009,0
9,6,136,2,10,1,6,13,164,2001,1
9,41,85,7,22,6,3,14,170,2013,0
14,15,106,6,38,8,4,6,187,2007,1
15,8,103,9,10,3,2,19,148,2007,0
11,44,73,6,14,7,6,10,155,2008,0
3,32,74,1,35,3,5,22,148,2012,0
4,28,63,2,4,8,4,4,109,2019,0
14,49,10,3,9,9,6,3,94,2005,0
1,1,80,6,32,1,4,21,121,2007,0
10,48,134,1,22,6,5,20,221,2004,1
5,44,63,6,19,5,3,8,142,2013,0
12,19,28,2,19,4,4,21,84,2009,0
13,22,63,8,16,4,1,8,126,2012,0
15,21,92,10,15,5,3,6,158,2020,0
15,39,36,7,26,8,3,17,131,2011,0
15,27,69,9,4,8,5,7,132,2015,0
12,4,7,8,14,9,1,1,54,2020,0
2,36,97,6,7,9,7,21,157,2014,0
11,9,117,8,35,1,7,14,181,2012,0
15,34,26,3,27,9,3,20,114,2021,0
10,1,144,9,28,4,2,27,196,2016,1
6,6,72,1,36,4,3,11,125,2012,0
8,10,127,10,7,5,7,4,167,2014,1
3,15,40,5,3,5,6,26,71,2019,0
7,25,118,6,21,4,6,16,181,2022,0
4,7,36,9,13,1,2,6,70,2015,0
11,21,65,7,33,9,5,4,146,2021,0
12,35,102,3,37,4,6,16,193,2019,1
9,36,3,2,20,9,2,7,79,2005,0
14,22,69,3,7,3,2,2,118,2014,0
7,5,99,5,9,3,4,25,128,2001,0
5,36,60,4,19,4,2,27,128,2002,0
7,14,36,8,25,2,6,5,92,2008,0
10,39,51,10,17,3,2,11,130,2012,0
5,46,95,4,6,8,7,16,164,2015,0
13,47,15,2,14,8,5,5,99,2001,0
15,37,132,2,22,3,4,18,211,2008,1
1,14,138,3,26,1,7,4,183,2019,1
13,26,109,9,26,6,3,18,189,2004,1
15,9,75,6,17,8,5,26,130,2011,0
6,10,30,4,4,8,1,22,62,2010,0
5,30,43,8,31,8,1,1,125,2022,0
14,24,16,6,22,1,7,19,83,2007,0
9,8,61,4,2,5,2,15,89,2011,0
7,34,78,8,1,3,7,2,131,2006,0
5,16,129,10,24,8,2,22,192,2004,1
14,13,85,5,14,5,3,7,136,2018,0
3,48,121,2,29,7,5,16,210,2005,1
1,10,81,8,25,9,5,8,134,2013,0
1,21,39,9,28,2,2,13,100,2005,0
8,43,128,5,25,5,2,11,214,2012,1
13,28,140,5,37,1,7,10,224,2020,1
3,21,23,7,23,3,1,8,80,2020,0
7,44,18,6,17,1,7,19,93,2005,0
3,3,86,8,18,2,4,16,120,2020,0
2,31,129,4,23,4,5,23,193,2019,1
8,29,74,2,18,5,5,8,136,2008,0
7,6,96,1,37,7,2,2,154,2022,1
13,19,87,1,3,6,1,10,129,2014,0
6,11,9,3,5,8,2,1,42,2021,0
11,16,12,1,30,4,2,10,74,2006,0
15,16,106,9,26,5,1,16,177,2001,0
14,5,31,7,11,3,2,11,71,2009,0
13,8,132,9,14,3,6,18,179,2008,1
13,47,145,4,36,1,1,12,246,2014,1
8,23,44,2,3,5,7,12,85,2005,0
12,24,54,7,19,7,6,16,123,2022,0
7,45,49,4,37,6,1,1,148,2004,0
7,10,92,1,22,4,3,7,136,2014,0
9,24,10,3,2,5,3,6,53,2004,0
5,5,70,5,6,1,7,8,92,2021,0
6,39,28,8,25,1,1,8,107,2020,0
10,39,116,8,33,1,4,27,207,2014,1
5,3,20,9,17,7,3,9,61,2003,0
12,42,111,5,9,7,7,12,186,2007,1
3,10,50,6,6,4,3,20,79,2020,0
11,24,114,7,4,7,5,23,167,2008,0
10,19,149,3,16,5,4,10,202,2001,1
6,11,43,3,28,6,2,11,97,2018,0
5,7,61,2,1,6,6,23,82,2008,0
11,18,64,6,11,7,2,24,117,2018,0
4,39,50,6,31,8,7,1,138,2006,0
7,47,144,2,13,2,6,22,215,2019,1
8,5,150,3,27,5,3,22,198,2011,1
1,14,123,1,11,5,6,9,155,2019,0
2,24,85,7,33,7,4,24,158,2008,0
8,12,142,1,21,5,6,14,189,2008,1
3,36,96,7,4,3,6,17,149,2021,0
4,34,101,3,35,7,5,10,184,2018,1
6,33,138,1,25,9,5,21,212,2006,1
10,4,105,6,6,2,2,15,133,2004,0
3,20,148,2,24,4,2,6,201,2017,1
14,36,51,9,25,2,6,9,137,2013,0
7,6,29,1,28,4,7,6,75,2009,0
9,45,145,4,21,9,3,23,233,2011,1
15,38,37,5,26,8,4,23,129,2010,0
15,33,39,3,13,2,1,20,105,2017,0
10,4,146,5,20,9,3,12,194,2022,1
9,17,145,4,35,6,4,18,216,2010,1
12,29,89,3,21,8,1,21,162,2018,1
5,8,19,4,10,8,2,1,54,2002,0
1,14,81,5,37,1,3,6,139,2003,0
2,13,19,3,13,6,3,17,56,2004,0
8,14,111,5,35,3,6,1,176,2012,1
14,38,92,1,18,7,2,1,170,2016,0
2,29,80,3,25,1,7,18,140,2008,0
7,19,89,9,31,7,5,22,162,2018,0
9,43,18,6,33,3,2,25,112,2011,0
13,22,114,7,3,1,7,23,160,2005,0
1,25,83,3,11,8,3,1,131,2007,0
3,35,77,3,34,2,7,4,154,2016,1
10,23,129,4,19,2,3,12,187,2010,1
8,40,58,3,26,1,2,7,136,2018,0
13,36,108,4,15,9,4,23,185,2020,0
14,30,94,9,11,4,2,5,162,2021,0
11,45,63,4,22,1,6,22,146,2018,0
3,14,83,9,18,9,3,12,136,2007,0
5,8,44,4,34,1,3,8,96,2015,0
7,43,87,1,5,1,3,13,144,2014,0
10,45,8,4,17,1,7,19,85,2016,0
14,19,36,4,9,7,1,8,89,2022,0
15,32,22,1,24,8,1,5,102,2020,0
3,23,56,2,25,7,5,10,116,2001,0
4,47,19,3,27,6,3,11,106,2017,0
5,38,65,9,23,6,4,15,146,2006,0
9,15,90,4,23,2,5,12,143,2017,0
15,39,129,4,22,8,7,6,217,2014,1
13,25,6,7,34,3,2,1,88,2006,0
3,37,52,6,21,6,4,10,125,2010,0
12,9,63,8,17,9,4,10,118,2017,0
7,37,57,3,18,7,2,3,129,2018,0
14,19,78,8,25,8,2,11,152,2014,0
14,8,90,6,33,6,5,22,157,2014,1
1,14,126,10,26,9,6,21,186,2008,1
13,14,77,8,34,8,6,9,154,2007,0
10,18,71,1,34,6,6,8,140,2014,0
4,21,132,7,21,7,7,10,192,2002,1
11,1,19,10,39,4,5,20,84,2007,0
1,15,81,5,6,7,1,19,115,2017,0
2,40,134,9,3,5,6,13,193,2007,0
7,34,147,8,37,7,5,8,240,2022,1
10,32,150,3,28,1,4,27,224,2005,1
2,27,35,2,17,9,7,2,92,2014,0
13,16,85,10,12,7,2,16,143,2022,0
8,36,49,6,13,9,2,16,121,2015,0
13,14,50,7,1,8,4,10,93,2011,0
2,11,141,2,6,5,1,16,167,2007,0
3,3,123,4,27,5,7,11,165,2015,0
6,48,31,8,6,3,1,17,102,2008,0
2,4,75,7,5,8,1,1,101,2017,0
6,10,98,1,24,9,4,20,148,2004,0
7,26,144,7,1,1,2,13,186,2007,1
11,14,145,4,15,9,5,1,198,2006,1
12,49,108,10,32,4,4,1,215,2008,1
10,43,91,4,34,3,7,16,185,2006,0
